iter	Passed	Remaining
0	349	279608
1	625	249658
2	867	230588
3	1087	216346
4	1305	207566
5	1596	211290
6	1805	204524
7	2085	206419
8	2433	213898
9	2726	215369
10	2956	212066
11	3200	210189
12	3440	208273
13	3698	207634
14	3882	203168
15	4050	198497
16	4184	192736
17	4343	188705
18	4492	184674
19	4629	180535
20	4774	177103
21	4942	174783
22	5092	172029
23	5273	170524
24	5434	168455
25	5575	165975
26	5740	164335
27	5901	162723
28	6063	161208
29	6212	159454
30	6363	157861
31	6500	156000
32	6636	154253
33	6785	152880
34	6921	151286
35	7074	150132
36	7229	149081
37	7373	147852
38	7514	146621
39	7652	145401
40	7784	144106
41	7938	143263
42	8080	142251
43	8231	141433
44	8369	140426
45	8501	139358
46	8649	138576
47	8802	137902
48	8937	136980
49	9092	136383
50	9228	135537
51	9377	134895
52	9517	134146
53	9673	133641
54	9827	133122
55	9978	132572
56	10112	131822557	10245	131075558	10394	130545559	10542	130024660	10685	129455661	10813	128716662	10955	128156663	11118	127860664	11277	127523665	11424	127054666	11576	126648667	11746	126450668	11890	125971669	12027	125425770	12176	125020771	12325	124629772	12481	124302773	12647	124082774	12780	123548775	12928	123159776	13101	123022777	13253	122683778	13410	122393
79	13562	122063
80	13726	121839
81	13893	121650
82	14036	121253
83	14158	120680
84	14284	120160
85	14428	119791
86	14579	119481
87	14738	119246
88	14883	118897
89	15022	118514
90	15155	118082
91	15285	117629
92	15435	117340
93	15586	117065
94	15721	116668
95	15905	116643
96	16070	116466
97	16221	116199
98	16374	115944
99	16523	115666
100	16703	115602
101	16871	115451
102	17033	115263
103	17193	115061
104	17346	114816
105	17487	114495
106	17641	114258
107	17774	113886
108	17941	113737
109	18093	113493
110	18246	113259
111	18410	113090
112	18564	112866
113	18716	112626
114	18867	112383
115	19018	112144
116	19205	112112
117	19366	111933
118	19532	111777
119	19684	111544
120	19837	111318
121	19997	111131
122	20143	110870
123	20298	110657
124	20447	110415
125	20578	110080
126	20719	109799
127	20876	109602
128	21035	109416
129	21201	109270
130	21357	109070
131	21514	108878
132	21686	108759
133	21850	108597
134	22011	108429
135	22155	108168
136	22331	108072
137	22495	107911
138	22651	107714
139	22830	107630
140	22987	107439
141	23154	107291
142	23308	107089
143	23465	106897
144	23608	106646
145	23781	106526
146	23914	106230
147	24073	106053
148	24216	105803
149	24342	105485
150	24487	105247
151	24642	105054
152	24782	104798
153	24925	104555
154	25072	104334
155	25214	104092
156	25370	103904
157	25542	103788
158	25688	103563
159	25850	103401
160	26003	103205
161	26167	103052
162	26333	102910
163	26484	102706
164	26626	102472
165	26770	102245
166	26922	102046
167	27080	101873
168	27255	101764
169	27420	101616
170	27571	101416
171	27730	101247
172	27894	101095
173	28040	100881
174	28190	100682
175	28344	100492
176	28487	100268
177	28631	100048
178	28782	99855
179	28920	99616
180	29069	99416
181	29220	99221
182	29368	99019
183	29508	98789
184	29655	98582
185	29790	98341
186	29933	98123
187	30102	97994
188	30232	97737
189	30391	97572
190	30532	97353
191	30681	97159
192	30843	97004
193	30983	96783
194	31137	96606
195	31298	96451
196	31444	96250
197	31590	96046
198	31734	95839
199	31894	95684
200	32058	95536
201	32202	95331
202	32335	95095
203	32466	94853
204	32599	94618
205	32744	94419
206	32891	94224
207	33047	94057
208	33198	93876
209	33356	93716
210	33513	93552
211	33658	93355
212	33795	93137
213	33929	92909
214	34077	92722
215	34224	92534
216	34380	92368
217	34522	92164
218	34672	91986
219	34822	91804
